Time, Pos1.x, Pos1.y, Pos2.x, Pos2.y
0,-10,2
1,-9,2
2,-7,2
3,-4,2
4,0,2
5,5,2
6,5,8
7,5,15
8,5,23
9,5,32
10,5,42
,,,3,4
,,,6.2,6.4
,,,12.6,11.2
,,,22.2,18.4
,,,35,28
,,,51,40
,,,70.2,54.4
,,,92.6,71.2
,,,118.2,90.4
,,,147,112
,,,179,136
